 
****************************************
Report : area
Design : Tradeoff_24bits
Version: U-2022.12-SP6
Date   : Wed Apr 30 20:32:14 2025
****************************************

Library(s) Used:

    fsa0m_a_generic_core_ss1p62v125c (File: /usr/cad/Library/CBDK018_UMC_Faraday_v1.0/CIC/SynopsysDC/db/fsa0m_a_generic_core_ss1p62v125c.db)

Number of ports:                         4189
Number of nets:                         10279
Number of cells:                         7556
Number of combinational cells:           7326
Number of sequential cells:               157
Number of macros/black boxes:               0
Number of buf/inv:                       1853
Number of references:                      49

Combinational area:             115789.463314
Buf/Inv area:                    12742.934271
Noncombinational area:            9149.414429
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (Wire load has zero net area)

Total cell area:                124938.877742
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area             Local cell area
                                  --------------------  ------------------------------ 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-  Black-
                                  Total        Total    national     national   boxes   Design
div_118/u_div_u_add_PartRem_5_4      774.9504      0.6     774.9504     0.0000  0.0000  Tradeoff_24bits_DW01_add_124
div_118/u_div_u_add_PartRem_5_5      862.4448      0.7     862.4448     0.0000  0.0000  Tradeoff_24bits_DW01_add_125
div_118/u_div_u_add_PartRem_5_6      828.0720      0.7     828.0720     0.0000  0.0000  Tradeoff_24bits_DW01_add_126
div_118/u_div_u_add_PartRem_5_7      962.4384      0.8     962.4384     0.0000  0.0000  Tradeoff_24bits_DW01_add_127
div_118/u_div_u_add_PartRem_6_1      896.8176      0.7     896.8176     0.0000  0.0000  Tradeoff_24bits_DW01_add_114
div_118/u_div_u_add_PartRem_6_2      812.4480      0.7     812.4480     0.0000  0.0000  Tradeoff_24bits_DW01_add_115
div_118/u_div_u_add_PartRem_6_3      924.9408      0.7     924.9408     0.0000  0.0000  Tradeoff_24bits_DW01_add_116
div_118/u_div_u_add_PartRem_6_4      784.3248      0.6     784.3248     0.0000  0.0000  Tradeoff_24bits_DW01_add_117
div_118/u_div_u_add_PartRem_6_5      874.9440      0.7     874.9440     0.0000  0.0000  Tradeoff_24bits_DW01_add_118
div_118/u_div_u_add_PartRem_6_6      853.0704      0.7     853.0704     0.0000  0.0000  Tradeoff_24bits_DW01_add_119
div_118/u_div_u_add_PartRem_6_7      974.9376      0.8     974.9376     0.0000  0.0000  Tradeoff_24bits_DW01_add_120
div_118/u_div_u_add_PartRem_7_1      909.3168      0.7     909.3168     0.0000  0.0000  Tradeoff_24bits_DW01_add_107
div_118/u_div_u_add_PartRem_7_2      821.8224      0.7     821.8224     0.0000  0.0000  Tradeoff_24bits_DW01_add_108
div_118/u_div_u_add_PartRem_7_3      899.9424      0.7     899.9424     0.0000  0.0000  Tradeoff_24bits_DW01_add_109
div_118/u_div_u_add_PartRem_7_4      793.6992      0.6     793.6992     0.0000  0.0000  Tradeoff_24bits_DW01_add_110
div_118/u_div_u_add_PartRem_7_5      868.6944      0.7     868.6944     0.0000  0.0000  Tradeoff_24bits_DW01_add_111
div_118/u_div_u_add_PartRem_7_6      834.3216      0.7     834.3216     0.0000  0.0000  Tradeoff_24bits_DW01_add_112
